Username,Cohort,UserId,TotalXP
Luis,Super-Actifs,14.0,132735
JasonAdams,Debutants,7487694.0,12
nasseef,Standard,37845.0,2902
Cristene,Standard,73011.0,2871
Sylvia,Standard,61526.0,4798
sabrina,Debutants,23016.0,0
Louis,Debutants,1570841351.0,263
Kristiyan,Standard,196618.0,1215
JakubM.,Debutants,123075395.0,414
Gillian,Debutants,1787.0,471
Maria,Debutants,207762109.0,650
David,Debutants,354426461.0,125
Anna,Debutants,745.0,28
Carlos,Super-Actifs,2052.0,300273
Pedro,Debutants,3614.0,10
sofia,Super-Actifs,1817.0,9604
Emma,Super-Actifs,3419.0,5089
Duolingo,Standard,1723277568.0,1370
duo,Super-Actifs,952.0,5889
zari,Debutants,313288.0,23
lily,Debutants,1489.0,20
manka21,Super-Actifs,10565846.0,463691
RositaFresita,Super-Actifs,36974.0,242040
nlagrow,Super-Actifs,38062.0,417349
shekel,Super-Actifs,1410.0,876351
dawn,Super-Actifs,5543.0,307102
guap,Super-Actifs,63.0,284185
lpvillafuerte,Super-Actifs,84.0,279157
Fustincho,Super-Actifs,31327.0,239812
Marci,Super-Actifs,7036.0,230273
bren,Super-Actifs,22.0,221748
Fueled,Super-Actifs,9168.0,200205
fabiobeta,Super-Actifs,3405.0,229325
mburroug,Super-Actifs,4751.0,194429
csi,Super-Actifs,2485.0,201460
quiet,Super-Actifs,23717.0,186848
batareikin,Super-Actifs,9333.0,178729
hector,Super-Actifs,24.0,174394
Remy,Super-Actifs,7238.0,164674
tjasonham,Super-Actifs,22027.0,170340
mihai,Super-Actifs,11553.0,156563
Alonzo,Super-Actifs,42784.0,161210
cvic,Super-Actifs,42204.0,168815
AbhisekMishra,Super-Actifs,16425728.0,149929
chez.gusto,Super-Actifs,5901.0,131546
KathyKnits1,Super-Actifs,12390.0,118822
SimonTemplar,Super-Actifs,19681.0,107684
sebastiankoch,Super-Actifs,9350.0,110892
Kaokira,Super-Actifs,25838.0,91822
liamhession,Super-Actifs,13529.0,86114
fpm,Super-Actifs,7778.0,80252
rome,Super-Actifs,28114.0,85732
marcosuvgedugt2,Super-Actifs,35587.0,67461
muj.u,Super-Actifs,17007065.0,68626
aniruddhc,Super-Actifs,16757.0,68472
Xavis,Super-Actifs,15910.0,58559
codebreach,Super-Actifs,46724.0,61467
munsonutah,Super-Actifs,4773.0,61217
jonathanpaulson,Super-Actifs,29825.0,46804
Una,Super-Actifs,5033.0,36472
dmonroy,Super-Actifs,54309.0,19603
mvalenzuela,Super-Actifs,23755.0,33163
maxi703,Super-Actifs,53589.0,32391
malcolmong,Super-Actifs,13831.0,24930
rryvola,Super-Actifs,1825.0,17341
aaduarte,Super-Actifs,4754.0,12587
lonfarr,Super-Actifs,7214.0,7477
jhonnyfarfan,Super-Actifs,6655713.0,51451
Rheen2023,Super-Actifs,1198478313.0,174328
menyiu,Super-Actifs,16217456.0,193643
SamuelBarr622648,Standard,567209038483438.0,1469
Jerzy952,Super-Actifs,667408171840814.0,37556
Leonus_olave,Super-Actifs,4706604.0,77786
SemperCrescis,Super-Actifs,327291062.0,24139
immirtaun,Super-Actifs,17081.0,869363
Gojou_Satorou,Super-Actifs,1507407930.0,20712
SVAlex2015,Super-Actifs,1790836573.0,17470
Cassieanddaisy,Super-Actifs,1586372813.0,10624
N1c_13,Standard,1794337310.0,1313
MiriamSimo726655,Super-Actifs,1527274117.0,196304
Sylvia38477,Super-Actifs,164331041.0,139997
micha137843,Super-Actifs,1559873247.0,82709
KTTUS,Super-Actifs,678639416.0,179106
RaFra22,Super-Actifs,733707391.0,195013
RubenSaucedo664,Super-Actifs,1239416280.0,310975
